"filename", "language", "YAML", "Markdown", "Properties", "comment", "blank", "total"
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-List\tasks\configure_list_interface_members.yml", "YAML", 56, 0, 0, 0, 6, 62
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-List\tasks\main.yml", "YAML", 9, 0, 0, 0, 0, 9
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-VLan\defaults\main.yml", "YAML", 13, 0, 0, 0, 0, 13
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-VLan\tasks\configure_graphing.yml", "YAML", 55, 0, 0, 0, 7, 62
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-VLan\tasks\configure_ip_address.yml", "YAML", 58, 0, 0, 0, 7, 65
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-VLan\tasks\configure_vlan_interface.yml", "YAML", 62, 0, 0, 0, 6, 68
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-VLan\tasks\main.yml", "YAML", 28, 0, 0, 0, 2, 30
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Wireless\defaults\main.yml", "YAML", 30, 0, 0, 0, 2, 32
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Wireless\tasks\configure_graphing.yml", "YAML", 55, 0, 0, 0, 7, 62
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Wireless\tasks\configure_ip_address.yml", "YAML", 58, 0, 0, 0, 7, 65
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Wireless\tasks\configure_wireless_interfaces.yml", "YAML", 45, 0, 0, 0, 2, 47
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Wireless\tasks\configure_wireless_manual_tx_power_table.yml", "YAML", 21, 0, 0, 0, 2, 23
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Wireless\tasks\configure_wireless_nstreme.yml", "YAML", 21, 0, 0, 0, 2, 23
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Wireless\tasks\configure_wireless_security_profiles.yml", "YAML", 64, 0, 0, 0, 8, 72
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Wireless\tasks\main.yml", "YAML", 51, 0, 0, 0, 5, 56
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Wireless\vars\main.yml", "YAML", 14, 0, 0, 0, 1, 15
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-NTP-Client\defaults\main.yml", "YAML", 6, 0, 0, 0, 0, 6
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-NTP-Client\tasks\main.yml", "YAML", 46, 0, 0, 0, 5, 51
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-SSL-Certificates\defaults\main.yml", "YAML", 5, 0, 0, 0, 0, 5
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-SSL-Certificates\tasks\main.yml", "YAML", 71, 0, 0, 1, 14, 86
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-SSL-Certificates\vars\main.yml", "YAML", 1, 0, 0, 0, 0, 1
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-SetIdentity\defaults\main.yml", "YAML", 3, 0, 0, 0, 0, 3
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-SetIdentity\tasks\main.yml", "YAML", 17, 0, 0, 0, 2, 19
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-UsersManagment\defaults\main.yml", "YAML", 2, 0, 0, 0, 0, 2
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-UsersManagment\tasks\configure_groups.yml", "YAML", 55, 0, 0, 0, 6, 61
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-UsersManagment\tasks\configure_users.yml", "YAML", 65, 0, 0, 0, 6, 71
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-UsersManagment\tasks\main.yml", "YAML", 16, 0, 0, 0, 2, 18
"Total", "-", 3263, 933, 23, 354, 522, 5095
